,date,T,Po,P,U,Td,water_level
0,2021-01-01,-12.024999999999999,754.55,773.1,72.75,-16.125,170.0
1,2021-01-02,-27.65,768.1,788.25,77.75,-30.325,171.5
2,2021-01-03,-24.75,769.75,789.625,77.5,-27.549999999999997,173.0
3,2021-01-04,-22.15,768.4,788.025,73.75,-25.6,173.0
4,2021-01-05,-24.85,776.25,796.225,67.5,-29.175,173.0
5,2021-01-06,-20.35,773.425,793.125,71.25,-24.25,175.0
6,2021-01-07,-21.25,771.325,791.0,75.0,-24.575,174.0
7,2021-01-08,-23.85,767.75,787.55,80.75,-26.25,155.0
8,2021-01-09,-20.05,761.575,780.9,80.25,-22.7,160.0
9,2021-01-10,-11.424999999999999,752.6,771.1,76.25,-14.85,160.0
10,2021-01-11,-13.0,745.375,763.775,75.25,-16.525,162.0
11,2021-01-12,-21.725,748.825,767.975,76.0,-24.875,160.0
12,2021-01-13,-21.8,746.425,765.475,84.0,-23.775,160.0
13,2021-01-14,-16.775,753.975,772.875,76.0,-20.075,160.0
14,2021-01-15,-13.975,760.6,779.45,67.75,-18.75,160.0
15,2021-01-16,-14.375,759.75,778.575,70.0,-18.75,160.0
16,2021-01-17,-7.125,744.175,762.125,66.25,-12.575,159.0
17,2021-01-18,-3.45,738.875,756.45,60.0,-10.425,159.0
18,2021-01-19,-9.875,740.7,758.775,68.5,-14.725000000000001,160.0
19,2021-01-20,-19.175,750.45,769.4250000000001,58.5,-25.4,160.0
20,2021-01-21,-23.8,750.35,769.675,83.25,-25.825,160.0
21,2021-01-22,-16.775,739.725,758.3,88.0,-18.325,160.0
22,2021-01-23,-12.675,749.9,768.4,68.75,-17.35,160.0
23,2021-01-24,-12.975,754.875,773.5,75.75,-16.625,159.0
24,2021-01-25,-24.225,762.25,781.925,72.25,-27.9,162.0
25,2021-01-26,-30.225,761.7,781.875,73.5,-33.425,161.0
26,2021-01-27,-26.175,753.7750000000001,773.4,79.25,-28.675,159.0
27,2021-01-28,-16.5,750.4,769.125,74.5,-20.075,160.0
28,2021-01-29,-16.475,746.4,765.1,83.0,-18.700000000000003,160.0
29,2021-01-30,-18.575,751.2,770.175,78.75,-21.375,159.0
30,2021-01-31,-30.466666666666665,765.4666666666667,785.6999999999999,73.33333333333333,-33.666666666666664,159.0
31,2021-02-01,-28.35,759.5,779.425,75.75,-31.325,136.0
32,2021-02-02,-23.025,754.275,773.65,81.75,-25.325,135.0
33,2021-02-03,-12.299999999999999,745.9333333333334,764.3333333333334,82.0,-14.766666666666666,142.0
34,2021-02-04,-6.375,740.8,758.6,81.75,-9.1,145.0
35,2021-02-05,-10.525,748.45,766.75,76.25,-14.0,146.5
36,2021-02-06,-10.425,749.3,767.625,86.0,-12.4,148.0
37,2021-02-07,-0.04999999999999993,744.85,762.4,69.5,-5.125,157.0
38,2021-02-08,0.625,743.275,760.625,68.0,-4.8,157.0
39,2021-02-09,4.45,730.8,747.65,54.5,-4.35,157.0
40,2021-02-10,-11.85,745.75,764.075,50.0,-20.425,157.0
41,2021-02-11,-18.7,754.6,773.675,58.75,-25.0,156.0
42,2021-02-12,-19.75,760.05,779.3,56.25,-26.425,156.0
43,2021-02-13,-21.25,759.5250000000001,778.875,73.75,-24.8,156.0
44,2021-02-14,-16.5,755.85,774.75,76.25,-19.75,157.0
45,2021-02-15,-15.85,756.075,774.95,84.0,-17.975,156.0
46,2021-02-16,-3.766666666666667,746.0333333333333,763.7666666666668,84.0,-6.2,158.0
47,2021-02-17,-1.1,742.9,760.4,96.0,-1.7,160.0
48,2021-02-18,-12.25,747.9,766.3,75.5,-15.85,189.0
49,2021-02-19,-14.575,738.575,756.9,86.5,-16.375,169.0
50,2021-02-20,-14.35,743.275,761.7,71.0,-18.65,185.0
51,2021-02-21,-16.9,756.075,775.025,69.5,-21.3,185.0
52,2021-02-22,-13.225,749.6,768.1,84.25,-15.450000000000001,185.0
53,2021-02-23,-14.475000000000001,753.675,772.375,65.5,-19.65,186.0
54,2021-02-24,-20.65,753.975,773.1,83.75,-22.7,186.0
55,2021-02-25,-13.775,743.525,761.925,76.25,-17.2,186.0
56,2021-02-26,-16.3,751.025,769.825,63.25,-21.975,186.0
57,2021-02-27,-19.425,757.1,776.225,62.75,-24.825,186.0
58,2021-02-28,-18.325000000000003,758.65,777.8,66.25,-23.25,186.0
59,2021-03-01,-21.599999999999998,750.0666666666666,769.2666666666668,84.66666666666667,-23.53333333333333,187.0
60,2021-03-02,-14.475000000000001,742.45,760.9,82.5,-16.85,186.0
61,2021-03-03,-16.675,746.975,765.7,71.75,-20.8,186.0
62,2021-03-04,-11.399999999999999,751.05,769.475,68.75,-16.35,187.0
63,2021-03-05,-1.4750000000000003,745.2,762.8,53.5,-10.175,192.5
64,2021-03-06,-0.35,744.85,762.375,57.0,-8.3,198.0
65,2021-03-07,-0.175,741.525,758.9,50.5,-9.625,203.0
66,2021-03-08,-5.550000000000001,746.6,764.5250000000001,59.75,-12.375,202.0
67,2021-03-09,0.2333333333333334,742.8666666666667,760.2666666666668,57.0,-7.666666666666667,199.0
68,2021-03-10,-5.166666666666667,747.1333333333333,765.0333333333333,62.666666666666664,-11.666666666666666,208.5
69,2021-03-11,-0.9749999999999996,740.6,758.025,64.25,-8.15,218.0
70,2021-03-12,-1.5,743.625,761.2,58.5,-9.125,215.0
71,2021-03-13,-8.725,742.275,760.3,55.5,-16.2,215.0
72,2021-03-14,-12.55,749.8,768.2,65.5,-17.7,219.0
73,2021-03-15,-10.075,752.575,770.95,68.75,-15.125,218.0
74,2021-03-16,-5.949999999999999,755.675,773.85,50.25,-14.925,219.0
75,2021-03-17,-7.025,757.15,775.425,58.5,-14.825,228.0
76,2021-03-18,-5.175000000000001,757.05,775.175,50.0,-14.7,228.0
77,2021-03-19,-4.5,759.3,777.4,60.5,-11.125,227.0
78,2021-03-20,-0.3750000000000002,750.825,768.425,45.75,-11.375,225.0
79,2021-03-21,4.625,738.9,756.0,36.5,-9.375,212.0
80,2021-03-22,2.875,743.05,760.325,76.0,-1.15,204.0
81,2021-03-23,2.3,743.95,761.275,71.0,-2.65,202.0
82,2021-03-24,0.19999999999999996,742.15,759.575,77.0,-3.5999999999999996,203.0
83,2021-03-25,0.5,743.8000000000001,761.2333333333332,57.333333333333336,-7.066666666666666,220.0
84,2021-03-26,-1.275,739.825,757.225,81.25,-4.2,244.0
85,2021-03-27,1.05,745.625,762.8,57.0,-7.05,231.0
86,2021-03-28,1.25,739.15,756.175,56.25,-6.75,230.0
87,2021-03-29,2.6333333333333333,736.6666666666666,753.6333333333333,68.66666666666667,-2.6333333333333333,229.0
88,2021-03-30,0.45,744.95,762.35,67.25,-5.425,229.0
