"Местное время в Красноярске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"12.05.2024 22:00";"15.9";"749.0";"765.7";"";"22";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.7";"";"";"";"";"";"";
"12.05.2024 19:00";"18.6";"747.9";"764.3";"";"27";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"19.9";"";"";"";"";"";"";"-0.8";"";"";"";"";"";"";
"12.05.2024 16:00";"18.4";"748.4";"764.8";"";"23";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.2";"";"";"";"";"";"";
"12.05.2024 13:00";"17.6";"749.4";"765.9";"";"18";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.9";"";"";"";"";"";"";
"12.05.2024 10:00";"12.9";"749.2";"766.0";"";"27";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.7";"";"";"";"";"";"";
"12.05.2024 07:00";"10.4";"747.3";"764.2";"";"62";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"10.2";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"12.05.2024 04:00";"11.2";"744.7";"761.5";"";"92";"Ветер, дующий с западо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"12.05.2024 01:00";"14.7";"742.3";"758.8";"";"94";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"11.05.2024 22:00";"18.3";"742.0";"758.2";"";"66";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"11.05.2024 19:00";"23.5";"740.6";"756.6";"";"35";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"26.9";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"11.05.2024 16:00";"25.6";"739.9";"755.7";"";"31";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"11.05.2024 13:00";"26.5";"740.2";"756.1";"";"31";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"11.05.2024 10:00";"22.1";"740.2";"756.3";"";"35";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
